,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1891-1892,M,M,M,M,0,M,M,M,M,M,M,M
1,1892-1893,M,8,3,2,M,M,M,M,M,M,1,6
98,1989-1990,12,7,2,1,0,0,0,0,0,0,4,1
99,1990-1991,8,7,9,1,0,0,0,0,0,0,2,8
100,1991-1992,7,13,7,3,0,0,0,0,0,0,1,8
101,1992-1993,7,11,12,4,0,0,0,0,0,0,2,8
102,1993-1994,15,11,14,0,0,0,0,0,0,0,3,5
103,1994-1995,10,6,0,0,0,0,0,0,0,0,M,M
104,1995-1996,0,M,M,M,M,M,M,M,M,M,M,M
105,1996-1997,M,M,M,M,M,M,M,M,M,M,M,M
106,1997-1998,M,M,M,M,M,M,M,M,M,M,M,M
107,1998-1999,M,M,M,M,M,M,M,M,M,M,M,M
108,1999-2000,M,M,M,M,M,M,M,M,M,M,M,M
109,2000-2001,M,M,M,M,M,M,M,M,M,M,M,M
110,2001-2002,M,M,M,M,M,M,M,M,M,M,M,M
111,2002-2003,11,6,2,5,0,0,0,0,0,1,0,4
112,2003-2004,8,2,8,0,0,0,0,0,0,0,2,6
113,2004-2005,13,11,7,0,0,0,0,0,0,0,2,4
114,2005-2006,7,2,0,1,0,0,0,0,0,0,0,2
115,2006-2007,6,7,6,2,0,0,0,0,0,0,1,12
116,2007-2008,5,11,2,0,0,0,0,0,0,0,0,8
117,2008-2009,8,4,3,0,0,0,0,0,0,2,0,8
118,2009-2010,7,7,2,0,0,0,0,0,0,0,0,5
119,2010-2011,9,8,2,1,0,0,0,0,0,3,0,1
120,2011-2012,7,3,4,0,0,0,0,0,0,0,3,7
121,2012-2013,6,10,6,0,0,0,0,0,0,0,1,7
122,2013-2014,8,9,3,1,0,0,0,0,0,0,3,3
123,2014-2015,8,15,7,1,0,0,0,0,0,0,0,1
124,2015-2016,6,5,1,2,0,0,0,0,0,0,0,8
