Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1903-1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1904-1905,M,M,M,M,2,13,7,4,2,0,0,0,M
1905-1906,0,0,0,0,0,1,5,3,7,2,0,0,18
1906-1907,0,0,0,0,2,7,9,11,9,4,0,0,42
1907-1908,0,0,0,0,0,6,3,5,4,0,0,0,18
1908-1909,0,0,0,0,0,4,5,3,3,1,0,0,16
1909-1910,0,0,0,0,0,3,9,3,1,0,0,0,16
1910-1911,0,0,0,0,1,10,2,10,3,3,0,0,29
1911-1912,0,0,0,0,0,2,13,2,7,0,0,0,24
1912-1913,0,0,0,0,1,1,1,6,2,0,0,0,11
1913-1914,0,0,0,0,1,1,5,7,4,0,0,0,18
1914-1915,0,0,0,0,0,6,5,3,1,2,0,0,17
1915-1916,0,0,0,0,1,5,2,11,15,3,0,0,37
1916-1917,0,0,0,0,1,2,8,3,4,1,0,0,19
1917-1918,0,0,0,0,1,5,7,7,5,2,0,0,27
1918-1919,0,0,0,0,0,4,2,2,3,0,0,0,11
1919-1920,0,0,0,0,0,3,14,8,3,0,0,0,28
1920-1921,0,0,0,0,1,2,5,5,0,0,0,0,13
1921-1922,0,0,0,0,1,3,5,6,4,1,0,0,20
1922-1923,0,0,0,0,1,8,13,7,6,0,0,0,35
1923-1924,0,0,0,0,0,3,4,6,4,1,0,0,18
1924-1925,0,0,0,0,0,2,9,2,1,0,0,0,14
1925-1926,0,0,0,0,0,3,5,4,6,1,0,0,19
1926-1927,0,0,0,0,0,9,7,5,1,0,0,0,22
1927-1928,0,0,0,0,0,0,4,3,2,0,0,0,9
1928-1929,0,0,0,0,0,1,6,7,3,1,0,0,18
1929-1930,0,0,0,0,1,7,8,8,0,0,0,0,24
1930-1931,0,0,0,0,1,3,5,5,6,0,0,0,20
1931-1932,0,0,0,0,1,1,5,3,2,0,0,0,12
1932-1933,0,0,0,0,0,6,1,6,6,1,0,0,20
1933-1934,0,0,0,0,3,8,1,9,7,0,0,0,28
1934-1935,0,0,0,0,0,3,9,6,2,2,0,0,22
1935-1936,0,0,0,0,2,2,7,6,3,0,0,0,20
1936-1937,0,0,0,0,2,0,3,1,4,0,0,0,10
1937-1938,0,0,0,0,0,5,6,5,1,2,0,0,19
1938-1939,0,0,0,0,3,4,6,5,3,0,0,0,21
1939-1940,0,0,0,0,0,2,5,7,3,1,0,0,18
1940-1941,0,0,0,0,2,2,7,2,4,0,0,0,17
1941-1942,0,0,0,0,0,0,5,3,3,1,0,0,12
1942-1943,0,0,0,0,0,3,10,3,5,3,0,0,24
