,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
98,2002-2003,9,4,3,2,0,0,0,0,0,0,0,5
99,2003-2004,7,2,6,0,0,0,0,0,0,0,2,5
100,2004-2005,11,9,6,0,0,0,0,0,0,0,1,3
101,2005-2006,4,2,1,1,0,0,0,0,0,0,0,0
102,2006-2007,3,6,3,0,0,0,0,0,0,0,1,5
103,2007-2008,4,5,1,0,0,0,0,0,0,0,0,8
104,2008-2009,7,2,2,0,0,0,0,0,0,0,0,5
105,2009-2010,4,8,0,0,0,0,0,0,0,0,0,3
106,2010-2011,9,7,1,1,0,0,0,0,0,1,0,0
107,2011-2012,3,2,3,0,0,0,0,0,0,0,3,6
108,2012-2013,5,10,5,0,0,0,0,0,0,0,0,8
109,2013-2014,10,9,1,1,0,0,0,0,0,0,2,2
110,2014-2015,8,11,5,0,0,0,0,0,0,0,0,1
111,2015-2016,3,7,3,2,0,0,0,0,0,1,0,7
