Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1990-1991,0,0,0,0,2,1,8,M,6,0,0,0,M
1991-1992,0,0,0,0,1,7,6,10,5,1,0,0,30
1992-1993,0,0,0,0,2,4,9,11,13,2,0,0,41
1993-1994,0,0,0,0,1,6,13,10,8,0,0,0,38
1994-1995,0,0,0,0,2,5,5,5,2,0,0,0,19
1995-1996,0,0,0,0,3,11,12,6,6,4,0,0,42
1996-1997,0,0,0,0,3,2,7,9,9,2,0,0,32
1997-1998,0,0,0,0,5,6,8,3,4,1,0,0,27
1998-1999,0,0,M,0,0,2,9,6,6,0,0,0,M
1999-2000,0,0,0,0,0,0,7,6,2,2,0,0,17
2000-2001,0,0,0,2,0,9,9,6,11,2,0,0,39
2001-2002,0,0,0,0,0,4,6,4,3,2,0,0,19
2002-2003,0,0,0,2,3,7,13,9,4,7,0,0,45
2003-2004,0,0,0,1,0,6,10,5,7,1,0,0,30
2004-2005,0,0,0,0,2,8,11,10,7,1,0,0,39
2005-2006,0,0,0,1,3,5,12,4,1,1,0,0,27
2006-2007,0,0,0,0,0,4,4,6,4,1,0,0,19
2007-2008,0,0,0,0,2,9,7,11,8,0,0,0,37
2008-2009,0,0,0,0,0,6,10,4,4,1,0,0,25
2009-2010,0,0,0,1,0,9,7,7,6,0,0,0,30
2010-2011,0,0,0,0,1,7,14,8,3,1,0,0,34
2011-2012,0,0,0,2,0,0,10,3,3,0,0,0,18
2012-2013,0,0,0,0,2,7,5,9,8,0,0,0,31
2013-2014,0,0,0,0,1,6,9,11,7,1,M,0,M
2014-2015,0,0,0,0,5,4,12,17,8,0,0,0,46
2015-2016,0,0,0,0,0,2,4,5,3,3,0,0,17
2016-2017,0,0,0,0,0,5,4,8,4,2,0,0,23
