Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1891-1892,M,M,M,M,M,M,M,M,M,M,0,M,M
1892-1893,M,M,M,M,M,M,M,8,3,2,M,M,M
1997-1998,M,M,M,M,M,M,M,M,M,M,M,M,M
1998-1999,M,M,M,M,M,M,M,M,M,M,M,M,M
1999-2000,M,M,M,M,M,M,M,M,M,M,M,M,M
2000-2001,M,M,M,M,M,M,M,M,M,M,M,M,M
2001-2002,M,M,M,M,M,M,M,M,M,M,M,M,M
2002-2003,M,M,M,M,M,M,11,6,2,5,0,0,M
2003-2004,0,0,0,1,0,4,8,2,8,0,0,0,23
2004-2005,0,0,0,0,2,6,13,11,7,0,0,0,39
2005-2006,0,0,0,0,2,4,7,2,0,1,0,0,16
2006-2007,0,0,0,0,0,2,6,7,6,2,0,0,23
2007-2008,0,0,0,0,1,12,5,11,2,0,0,0,31
2008-2009,0,0,0,0,0,8,8,4,3,0,0,0,23
2009-2010,0,0,0,2,0,8,7,7,2,0,0,0,26
2010-2011,0,0,0,0,0,5,9,8,2,1,0,0,25
2011-2012,0,0,0,3,0,1,7,3,4,0,0,0,18
2012-2013,0,0,0,0,3,7,6,10,6,0,0,0,32
2013-2014,0,0,0,0,1,7,8,9,3,1,0,0,29
2014-2015,0,0,0,0,3,3,8,15,7,1,0,0,37
2015-2016,0,0,0,0,0,1,6,5,1,2,0,0,15
2016-2017,0,0,0,0,0,8,10,6,3,1,0,0,28
