,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
81,1971-1972,7.8,16.5,12.1,0.4,0,0,0,0,0,T,0.6,3.3
82,1972-1973,3.6,2.5,0.3,T,0,0,0,0,0,0,0,T
83,1973-1974,16,17.8,0.1,3,0,0,0,0,0,0,2,3.6
84,1974-1975,2.2,17,1.8,1,0,0,0,0,0,T,0.1,19.3
85,1975-1976,15,1.4,10.8,T,0,0,0,0,0,0,1,17.2
86,1976-1977,23.2,5.9,10.7,T,0.5,0,0,0,0,0,0.7,5.2
87,1977-1978,35.9,27.2,16.1,T,0,0,0,0,0,0,4.2,5.8
88,1978-1979,10.5,6.6,T,0.4,0,0,0,0,0,0,T,2
89,1979-1980,0.4,6.5,3.6,T,0,0,0,0,0,0,2.4,5.6
90,1980-1981,11.9,1.9,0.5,0,0,0,0,0,0,0,T,17.6
91,1981-1982,18,7.6,5.3,13.3,0,0,0,0,0,0,T,5.5
92,1982-1983,4.7,22.3,0.2,T,0,0,0,0,0,0,T,2.6
93,1983-1984,21.1,0.3,19,T,0,0,0,0,0,0,T,3.7
94,1984-1985,7,10.2,3.7,2,0,0,0,0,0,0,3,1.3
95,1985-1986,0.8,10.4,2.6,T,0,0,0,0,0,0,3.5,3.4
96,1986-1987,24.3,3.7,3.5,4.1,0,0,0,0,0,0,9,7.5
97,1987-1988,17,14.1,5,T,0,0,0,0,0,T,0,3.7
98,1988-1989,1.5,6.7,3.2,0.4,0,0,0,0,0,0,4.5,6.2
99,1989-1990,7,16.9,4.1,0.5,0,0,0,0,0,0,T,1.2
100,1990-1991,11.7,2.8,3.4,0,0,0,0,0,0,0,T,5.8
101,1991-1992,0.4,4,10.8,1,0,0,0,0,0,0,0.6,9.7
102,1992-1993,12.9,19.6,38.9,2.2,0,0,0,0,0,0,T,11.6
103,1993-1994,33.7,36.2,14.8,0,0,0,0,T,0,0,0.1,1.5
104,1994-1995,4.4,8.5,0.4,T,0,0,0,0,0,0,4.1,24.1
105,1995-1996,39.8,15.5,16.8,7.3,0,0,0,0,0,0,1.8,5
106,1996-1997,9.7,4.8,8.2,22.4,0,0,0,0,0,0,3.9,7.8
107,1997-1998,10,0.3,3.6,T,0,0,0,0,0,0,0,0.8
108,1998-1999,16.8,7.4,11.4,0,0,0,0,0,0,0,0,0
109,1999-2000,13.2,9.2,2,T,0,0,0,0,0,T,T,4.5
110,2000-2001,12.4,9.8,19.2,T,0,0,0,0,0,T,0,5
