,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
77,1968-1969,1.8,39.5,6.9,T,0,0,0,0,0,T,0.3,29.5
78,1969-1970,7.7,11.4,19.9,3.3,T,0,0,0,0,T,T,32.1
79,1970-1971,16.6,11.4,12.1,7.8,0,0,0,0,0,0,20.7,9.6
80,1971-1972,6.7,35,20.1,7.2,0,0,0,0,0,T,6.1,13.8
81,1972-1973,17.9,5.8,0.4,0.4,0,0,0,0,0,0,T,0.9
82,1973-1974,12.5,15,1.7,3.7,0,0,0,0,0,T,1.2,13.1
83,1974-1975,22.6,21.9,4.9,1.4,0,0,0,0,0,T,1.5,18.1
84,1975-1976,21.6,4.7,16.4,T,T,0,0,0,0,T,3,13.5
85,1976-1977,21.7,13.8,21.5,1,12.7,0,0,0,0,0,2.2,13.7
86,1977-1978,34.2,20.8,15,T,T,0,0,0,0,0,5.4,13.1
87,1978-1979,16,6.5,1.3,5.4,0,0,0,0,0,7.5,0,2.1
88,1979-1980,0.8,6.5,9.7,T,0,0,0,0,0,0,9,6.8
89,1980-1981,12.5,11.4,3.3,T,T,0,0,0,0,T,T,24.6
90,1981-1982,16.7,6.5,11,15.1,0,0,0,0,0,0,0.5,6.4
91,1982-1983,18.6,32.1,3.5,2.3,T,0,0,0,0,T,1.1,17.2
92,1983-1984,24.1,3.3,30.9,T,T,0,0,0,0,0,T,7
93,1984-1985,9.7,11,7.2,4.9,0,0,0,0,0,0,6.9,9.1
94,1985-1986,5.8,14.5,2.3,0.1,0.3,0,0,0,0,0,11.5,4.9
95,1986-1987,46.8,3,6.4,21,0,0,0,0,0,0,10.2,12.9
96,1987-1988,25.2,15.8,6.4,0.6,0,0,0,0,0,0.4,T,5
97,1988-1989,2.8,7.7,8.5,3.7,0,0,0,0,0,0,7.9,10.2
98,1989-1990,11.3,15.2,6.4,2.1,0,T,0,0,0,0,0.7,5
99,1990-1991,11.3,9.1,9.3,0.2,0,0,0,0,0,0,5.8,14.5
100,1991-1992,2.7,8.4,11.8,2.7,0,0,0,0,T,0,1.9,37
101,1992-1993,14.6,19.7,44.1,2.8,0,T,0,0,0,T,0.2,12.9
102,1993-1994,34.1,25.9,27.1,0,T,0,0,T,T,0,2.9,3.2
103,1994-1995,4.5,14.3,T,T,0,0,0,0,0,0,M,M
104,1995-1996,0,M,M,M,M,M,M,M,M,M,M,M
105,1996-1997,M,M,M,M,M,M,M,M,M,M,M,M
106,1997-1998,M,M,M,M,M,M,M,M,M,M,M,M
107,1998-1999,M,M,M,M,M,M,M,M,M,M,M,M
108,1999-2000,M,M,M,M,M,M,M,M,M,M,M,M
109,2000-2001,M,M,M,M,M,M,M,M,M,M,M,M
110,2001-2002,M,M,M,M,M,M,M,M,M,M,M,M
111,2002-2003,22,38.9,8.3,5.1,0,0,0,0,0,1.5,T,21.5
112,2003-2004,13,5.9,7.6,T,0,0,0,0,0,0,3,11.9
113,2004-2005,50.9,23.9,24.6,0,0,T,0,0,0,T,3.2,18
114,2005-2006,24.1,18.9,T,1.5,0,0,0,0,0,0,0,1.1
115,2006-2007,3.9,20.8,20.8,2.5,0,0,0,0,0,0,0.7,27.1
116,2007-2008,12.3,22.6,7.4,0,0,0,0,0,0,T,T,31.4
117,2008-2009,24.7,7.7,13.1,T,0,0,0,0,0,2.4,T,20.7
118,2009-2010,18.8,20.9,1.8,0,0,0,0,0,T,T,T,14
119,2010-2011,48.4,23,3.4,3.8,0,0,0,0,0,16,T,0.3
120,2011-2012,13.6,4.7,5.1,0,0,0,0,0,0,0,7.8,18.5
121,2012-2013,7.3,44.4,30.9,T,0,0,0,0,0,0,0.5,18.9
122,2013-2014,20,41.5,3.7,0.6,0,0,0,0,0,0,7.2,1.5
123,2014-2015,46.5,53.4,10.9,0.2,0,0,0,0,0,T,0,1.4
124,2015-2016,9.7,20.6,5.5,10,0,0,0,0,0,T,T,17.5
