Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1966-1967,0,0,0,0,0.7,13.6,2.5,35.5,34.6,7.3,T,0,94.2
1967-1968,0,0,0,0,9.8,22.2,18.6,6.4,9.2,T,0,0,66.2
1968-1969,0,0,0,0,15.3,12.2,1.8,39.5,6.9,T,0,0,75.7
1969-1970,0,0,0,T,0.3,29.5,7.7,11.4,19.9,3.3,T,0,72.1
1970-1971,0,0,0,T,T,32.1,16.6,11.4,12.1,7.8,0,0,80
1971-1972,0,0,0,0,20.7,9.6,6.7,35,20.1,7.2,0,0,99.3
1972-1973,0,0,0,T,6.1,13.8,17.9,5.8,0.4,0.4,0,0,44.4
1973-1974,0,0,0,0,T,0.9,12.5,15,1.7,3.7,0,0,33.8
1974-1975,0,0,0,T,1.2,13.1,22.6,21.9,4.9,1.4,0,0,65.1
1975-1976,0,0,0,T,1.5,18.1,21.6,4.7,16.4,T,T,0,62.3
1976-1977,0,0,0,T,3,13.5,21.7,13.8,21.5,1,12.7,0,87.2
1977-1978,0,0,0,0,2.2,13.7,34.2,20.8,15,T,T,0,85.9
1978-1979,0,0,0,0,5.4,13.1,16,6.5,1.3,5.4,0,0,47.7
1979-1980,0,0,0,7.5,0,2.1,0.8,6.5,9.7,T,0,0,26.6
1980-1981,0,0,0,0,9,6.8,12.5,11.4,3.3,T,T,0,43
1981-1982,0,0,0,T,T,24.6,16.7,6.5,11,15.1,0,0,73.9
1982-1983,0,0,0,0,0.5,6.4,18.6,32.1,3.5,2.3,T,0,63.4
1983-1984,0,0,0,T,1.1,17.2,24.1,3.3,30.9,T,T,0,76.6
1984-1985,0,0,0,0,T,7,9.7,11,7.2,4.9,0,0,39.8
1985-1986,0,0,0,0,6.9,9.1,5.8,14.5,2.3,0.1,0.3,0,39
1986-1987,0,0,0,0,11.5,4.9,46.8,3,6.4,21,0,0,93.6
1987-1988,0,0,0,0,10.2,12.9,25.2,15.8,6.4,0.6,0,0,71.1
1988-1989,0,0,0,0.4,T,5,2.8,7.7,8.5,3.7,0,0,28.1
1989-1990,0,0,0,0,7.9,10.2,11.3,15.2,6.4,2.1,0,T,53.1
1990-1991,0,0,0,0,0.7,5,11.3,9.1,9.3,0.2,0,0,35.6
1991-1992,0,0,0,0,5.8,14.5,2.7,8.4,11.8,2.7,0,0,45.9
1992-1993,0,0,T,0,1.9,37,14.6,19.7,44.1,2.8,0,T,120.1
1993-1994,0,0,0,T,0.2,12.9,34.1,25.9,27.1,0,T,0,100.2
1994-1995,0,T,T,0,2.9,3.2,4.5,14.3,T,T,0,0,24.9
1995-1996,0,0,0,0,M,M,0,M,M,M,M,M,M
1996-1997,M,M,M,M,M,M,M,M,M,M,M,M,M
1997-1998,M,M,M,M,M,M,M,M,M,M,M,M,M
1998-1999,M,M,M,M,M,M,M,M,M,M,M,M,M
1999-2000,M,M,M,M,M,M,M,M,M,M,M,M,M
2000-2001,M,M,M,M,M,M,M,M,M,M,M,M,M
2001-2002,M,M,M,M,M,M,M,M,M,M,M,M,M
2002-2003,M,M,M,M,M,M,22,38.9,8.3,5.1,0,0,M
2003-2004,0,0,0,1.5,T,21.5,13,5.9,7.6,T,0,0,49.5
2004-2005,0,0,0,0,3,11.9,50.9,23.9,24.6,0,0,T,114.3
2005-2006,0,0,0,T,3.2,18,24.1,18.9,T,1.5,0,0,65.7
2006-2007,0,0,0,0,0,1.1,3.9,20.8,20.8,2.5,0,0,49.1
2007-2008,0,0,0,0,0.7,27.1,12.3,22.6,7.4,0,0,0,70.1
2008-2009,0,0,0,T,T,31.4,24.7,7.7,13.1,T,0,0,76.9
2009-2010,0,0,0,2.4,T,20.7,18.8,20.9,1.8,0,0,0,64.6
2010-2011,0,0,T,T,T,14,48.4,23,3.4,3.8,0,0,92.6
2011-2012,0,0,0,16,T,0.3,13.6,4.7,5.1,0,0,0,39.7
2012-2013,0,0,0,0,7.8,18.5,7.3,44.4,30.9,T,0,0,108.9
2013-2014,0,0,0,0,0.5,18.9,20,41.5,3.7,0.6,0,0,85.2
2014-2015,0,0,0,0,7.2,1.5,46.5,53.4,10.9,0.2,0,0,119.7
2015-2016,0,0,0,T,0,1.4,9.7,20.6,5.5,10,0,0,47.2
2016-2017,0,0,0,T,T,17.5,14.9,25.4,17.6,2.9,0,0,78.3
