Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1952,27.2,27.3,32.4,47.2,53.8,67.3,74.3,68.8,62.1,48.5,40.4,30.5,48.3
1953,29.6,29.7,35.6,45.2,56.8,67.3,69.6,68.8,63,53.4,43.8,34.7,49.8
1954,21.4,33.3,34,47.2,53.3,64.5,68.1,65,58.4,54.5,39.7,28.8,47.3
1955,23.7,27.9,32.6,46.4,59.8,63.8,73.7,71.2,60.3,51.4,36.8,21.3,47.4
1956,25.9,27.2,28.4,40.6,52.2,66.7,67.7,68.3,57.2,52.3,40.7,30.3,46.5
1957,16.8,29.7,34.8,47.3,55.6,67.4,69,65.3,62.4,49.9,41.2,33.8,47.8
1958,25,19.1,34.3,46.4,52.7,59.9,68.7,67.4,59.6,47.3,40.7,20.7,45.2
1959,23,21.2,31.9,46.5,59.9,63,70.8,70.7,64.4,50.4,39.3,30.4,47.6
1960,24.7,28.3,26.1,46,57.4,64.5,67.6,67.2,59.4,48.8,41.9,23.2,46.3
1961,18.7,27.7,33,41.8,53.6,66,69.4,67.8,66,52.4,39.5,26.8,46.9
1962,23.5,22,34.3,45,55,65,66,66.1,58.2,49.1,37.3,24.2,45.5
1963,22.5,19.9,34,44.9,55.8,65.5,69.9,65.7,56.5,56.8,42.9,20.2,46.2
1964,27.2,23.9,35.1,43.7,58.9,64.3,68.6,63.4,59.3,49.6,41.2,28.4,47
1965,20.9,24.3,31.3,42.9,58.9,63.7,68.2,67.4,61.1,49.1,36.7,30.1,46.2
1966,22.1,25.7,34.2,42,52.9,65.4,70.6,68.1,58.2,49,43.1,28,46.6
1967,29.4,20.5,28.8,41.7,48.8,66.1,70.7,67.7,60.6,51.5,34.4,29.8,45.8
1968,19.2,19.9,35.6,48.5,53.7,62.1,71.2,68,63.4,52.9,37.1,24,46.3
1969,23.2,25.1,30.7,48.8,56.2,66.3,68.4,70.4,60.8,49.7,39,25.3,47
1970,14.9,24.1,30.4,44.6,56.9,63.7,71,70.1,60.6,51.7,40.2,22.2,45.9
1971,17.7,25.9,29.9,42.5,54.2,65.5,70.6,68.1,63.4,56.5,36.6,30.5,46.8
1972,26.4,23.3,30.4,40.3,55.7,62.2,71.1,66.9,59.7,44.7,34.9,27.6,45.3
1973,26.1,24.7,40.9,46.3,54.2,67.4,71,71.7,60.1,51.2,39.8,31.9,48.8
