Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1904,M,M,M,M,M,M,M,M,M,M,37.1,24.8,31
1964,30.6,27.9,37.8,46.1,60.2,66.3,71.7,66.6,62.5,52.6,44.6,33.1,50
1965,25,28.4,36,45.4,60,66.9,71.6,71.5,64.1,52.1,41.1,35.4,49.8
1966,28.8,29.9,38.8,43.8,54.3,67.4,72.7,70.7,61.3,51.4,45.5,32.7,49.8
1967,33.7,25.6,33.3,44.8,51.1,66.8,72.8,70.6,62.7,53.6,39.4,34.5,49.1
1968,24.5,24.6,38,49.9,55.7,65,73.1,70.6,64.8,55.9,42.4,30.2,49.6
1969,28.8,28.7,35,49.7,57.7,68.2,71.5,74.3,64,53.3,42.4,30.5,50.3
1970,19.6,29.2,35,47.8,58.2,65.6,74.1,72.3,64.4,54.2,44.7,28.5,49.5
1971,22.9,30.9,36.7,45.9,58.1,69,74.3,73,68.7,59.2,40.4,35,51.2
1972,30.8,28,36.4,44.3,57.7,64.9,72.6,70.6,65.1,49.5,40.9,34.3,49.6
1973,31.1,29.6,43.6,50,56.7,70.3,73.5,74.9,63.4,54.2,43.7,38.3,52.4
1974,31.6,28.9,38.7,50.5,55.5,65.3,72.6,72.5,63.2,48.2,43.7,35.7,50.5
1975,34.1,30.4,35.5,44.5,61.4,66,74.3,71.3,61,55.3,48,32.1,51.2
1976,23.4,35.5,39,52.6,57.9,70,70,70,61.6,48.7,37.9,25.4,49.3
1977,20.9,29.7,43.6,50.6,61.2,66.7,74.3,73,64.1,52.9,45.9,31.6,51.2
1978,25.1,22.1,33.7,46.7,57.8,68,71.7,71.3,59.5,51.5,42.3,33.4,48.6
1979,30,19.7,40.4,46.8,60.3,65,73.4,70.1,64,52.9,48.2,37.3,50.7
1980,29.7,26.8,37.1,49.5,60.3,64.5,74.7,73.3,64.8,49.8,40.9,28.5,50
1981,20.3,37.4,38.7,51.3,58.5,69.4,75.6,70,62.4,49.1,43,31.1,50.6
1982,21.4,31.5,38.8,47.8,58.9,63.9,73.6,69.2,64.1,53.2,47.5,38.6,50.7
1983,31.3,32.9,40.3,49.9,56.8,70.2,76.6,74.3,69.6,55.3,46,32.5,53
1984,26.4,37.1,33.7,47.6,57.4,69,71.4,73.5,62.1,56.2,43.6,37.8,51.3
1985,22.5,32.1,40.6,51,60.2,64.8,73,71.1,65.2,54.6,45.9,30.4,50.9
1986,31,29,39.9,49.4,59.4,66.3,71,69.2,62.2,53,41.6,35.4,50.6
1987,29,28.6,39.8,48.4,59.2,68.3,72.1,69.6,64.2,51.4,43,35.1,50.7
1988,26.8,31.8,39.4,47,58,66.9,74.2,75.2,63,48.9,45.2,32.4,50.7
1989,33.8,29.9,37.5,46.2,59.2,68.7,72.3,72.1,65.3,54,42.5,21.8,50.3
1990,36.3,34.3,40.1,48.1,56,67.6,73,73.5,63.7,58.5,46.5,39.5,53.1
1991,29.6,35.1,41.2,51.8,63.9,69.3,74.2,73.5,63.1,56.1,45.4,36.2,53.3
1992,31.4,33,36.5,46.5,57.6,67.3,70.3,70,64,51.7,43,34.2,50.5
1993,31.4,26.3,35.7,49.6,61.8,69.3,74.5,73.8,65.1,51.5,44,33.6,51.4
1994,22.7,25.8,38.8,51.3,56.5,69.4,76.1,69.9,63,54.2,48.5,38.4,51.2
1995,36,29.3,41.2,48.4,57.3,68.3,75.8,73.5,62.8,57,40.7,29.8,51.7
1996,28.7,29.6,35,48.3,57.4,68.1,71.1,71,64.1,52.1,40,38.5,50.3
1997,29.3,36.4,37.8,47.1,55.4,68.1,73.7,70.6,64,51.8,41,34.2,50.8
1998,35.1,37,41.2,49.8,61.1,65.9,73.5,73.3,66.3,54.1,43.5,38.5,53.3
1999,30.2,34.8,39.9,49.9,59.8,70.5,76.5,72,66.5,52.4,47.3,36.8,53
2000,27.7,34,43.5,47.3,58.5,67.8,70.5,70.2,63.3,53.4,43.4,28.9,50.7
2001,29,31.8,36.3,49.1,60.1,70.5,69.8,74.2,64.9,54.2,47.6,39.3,52.2
2002,35.2,35.6,40.2,51,56.6,66.3,75.6,75.3,67.8,52.9,42.9,33,52.7
2003,25,26.2,38.3,45.4,55.2,65.3,73.5,74.8,66.3,51.7,46.6,36,50.4
2004,21.4,33,39.1,49.6,59.3,66.7,71.5,71.2,65.4,53.2,43.5,34.4,50.7
2005,27.5,31.3,34.8,49.9,53.4,69.7,74.3,76.4,68.3,55.2,45.8,32.4,51.6
2006,37.2,31.7,39,50.5,58.6,68.6,76.2,72.6,63.8,53.8,49.2,40.6,53.5
2007,34.1,27,38.1,46.8,60.8,68.3,73.8,73.2,67.5,59.6,42.7,32.7,52.1
2008,33.3,32.9,39.5,51.4,57.6,71.3,76.4,70.2,65.4,52.2,42.6,35.3,52.3
2009,24.2,32.9,37.7,49.9,58.7,64.4,70.3,73.9,63,52,48.9,32.9,50.7
2010,29.1,33,45.2,53.8,62.7,70.9,77.5,73.4,67.9,55.6,44.7,31.1,53.7
2011,26.2,29.7,38.8,50,59.4,67.4,76.1,73.2,67.6,55.3,48.3,39.1,52.6
2012,34,36.2,46.3,51.4,61.5,66.5,75.3,73.7,64.1,56.2,42,38.4,53.8
2013,31.3,31,38.5,49,60,69.5,78.4,70.9,63.5,55,41.8,33.3,51.9
2014,26.7,28.4,34,48.5,59.1,67.8,74.1,70.5,66.1,56.1,41.9,37.9,50.9
2015,26.2,18.4,32.7,48.9,62.9,66.4,74.5,74.9,69.1,53.7,47.7,46,51.8
2016,32.2,33.8,43.9,47.8,59.4,68.8,76,76,68.3,55.7,46.4,34.9,53.6
2017,34.8,35.7,35.1,52.6,58.1,68.8,72.7,71.9,68.1,61.3,44,M,54.8
